"Payee","Amount","Date","Description","Directorate"
"Royal Botanic Garden Edinburgh",664965.52,"20-05-2010","RBG Grant In Aid","Rural & Environmental Research & Analysis"
"Lantra",33566.67,"20-05-2010","Lantra","Rural Directorate"
"IPSOS MORI",164531.42,"20-05-2010","Household Survey","Housing & Regeneration"
"Cairn Housing Association Limited",86138.7,"20-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Albyn H S Limited",117300.12,"20-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Cairn Housing Association Limited",92119.33,"20-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Albyn H S Limited",36813.51,"20-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Arklet Housing Association Limited",59532,"20-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Arklet Housing Association Limited",29322,"20-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Weslo Housing Management",119000.15,"20-05-2010","Mortgage to rent Cap Grts to Priv Sect","Housing & Regeneration"
"Ayrshire North Community Housing Organisation",45166.06,"20-05-2010","Mortgage to rent Cap Grts to Priv Sect","Housing & Regeneration"
"Weslo Housing Management",64413.01,"20-05-2010","Mortgage to rent Cap Grts to Priv Sect","Housing & Regeneration"
"Link Housing Association Limited",36558.21,"20-05-2010","Mortgage to rent Cap Grts to Priv Sect","Housing & Regeneration"
"Manor Estates Housing Association",57827.76,"20-05-2010","Mortgage to rent Cap Grts to Priv Sect","Housing & Regeneration"
"Sanctuary Scotland Housing Ass",77900,"20-05-2010","Mortgage to rent Cap Grts to Priv Sect","Housing & Regeneration"
"Renfrewshire Council",47161.86,"20-05-2010","Mortgage to Rent Cap. Grt LA's","Housing & Regeneration"
"East Lothian Council",84498.48,"20-05-2010","Mortgage to Rent Cap. Grt LA's","Housing & Regeneration"
"Midlothian Council",89469.71,"20-05-2010","Mortgage to Rent Cap. Grt LA's","Housing & Regeneration"
"COSLA",150000,"20-05-2010","C.P.D (Teachers)","Learning Directorate"
"COSLA",113000,"20-05-2010","C.P.D (Teachers)","Learning Directorate"
"University Of Strathclyde",93874,"20-05-2010","Teacher Training","Learning Directorate"
"Harmeny Education Trust Limited",92419,"20-05-2010","Grant Aided Schools","Learning Directorate"
"Capability Scotland",54721,"20-05-2010","Grant Aided Schools","Learning Directorate"
"East Park School",109136,"20-05-2010","Grant Aided Schools","Learning Directorate"
"Donaldsons College",165049,"20-05-2010","Grant Aided Schools","Learning Directorate"
"The Royal Blind Asylum & School",53000,"20-05-2010","Grant Aided Schools","Learning Directorate"
"Craighalbert Centre",45000,"20-05-2010","Grant Aided Schools","Learning Directorate"
"Capability Scotland",118960,"20-05-2010","Grant Aided Schools","Learning Directorate"
"Glasgow Southwest Regeneration Agency",53160.38,"20-05-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Enterprise and Energy"
"Consumer Focus Scotland",219598,"20-05-2010","Food and Health","Public Health and Health Improvement"
"Glasgow Community & Safety Services",133262.81,"20-05-2010","Support for Victims of Human Trafficing","Justice Directorate"
"R C Myles & Son",31587.5,"20-05-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"D M Colthart",54879.9,"20-05-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"Cathpair Estates Ltd",47575.95,"20-05-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"Charles Michie - Mid Clova",27815.48,"20-05-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"T J Wardrop",26191.15,"20-05-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"Hon R B Loder Childrens Settlement",34788.4,"20-05-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"Cairness Ltd",28941.79,"20-05-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"Nat Trust for Scotland",394027.25,"20-05-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"M & M Dudgeon",34244.19,"20-05-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"E Innes & Sons",25820,"20-05-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"M F G & J A Walford",33740.86,"20-05-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"Buccleuch Woodlands Ltd (Bowhill Woods)",68216.1,"20-05-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"C + L Stewart",33144.49,"20-05-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"A F McDowall & Co",49172.2,"20-05-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"Avril Berry & Alan Fraser",25574.79,"20-05-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"R P Cowe & Co",35403.92,"20-05-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"R M & M J McCall",30485.2,"20-05-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"Joint Properties Limited, The",43194.76,"20-05-2010","Accommodation charge incl. rent, rates etc","Human Resources & Corporate Services"
"NHS Tayside",149018,"20-05-2010","International Development","Culture, External Affairs and Tourism"
"Challenges Worldwide",181959,"20-05-2010","International Development","Culture, External Affairs and Tourism"
"Venture Trust",108215,"20-05-2010","International Development","Culture, External Affairs and Tourism"
"Sea Fish Industry Authority",102076,"21-05-2010","EFF Grant Payment","Marine Scotland Directorate"
"Marr Vessel Management Limited",65358.47,"21-05-2010","FRV Management Contract-Alba na Mara","Marine Scotland Directorate"
"Marr Vessel Management Limited",132894.74,"21-05-2010","FRV Management Contract-Scotia","Marine Scotland Directorate"
"Hebridean Housing Partnership Limited",68257.83,"21-05-2010","COP Early Action cap grant to PS","Housing & Regeneration"
"Hebridean Housing Partnership Limited",31113.5,"21-05-2010","COP Early Action cap grant to PS","Housing & Regeneration"
"Albyn H S Limited",287135,"21-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Albyn H S Limited",26157,"21-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Cloch Housing Association limited",137885.66,"21-05-2010","COP Support Business Plan Cap Gr PS","Housing & Regeneration"
"Cloch Housing Association limited",303479.38,"21-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Dunedin Canmore Housing Association Limited",79540,"21-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Kingdom Housing Association limited",169701,"21-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Almond Housing Association Limited",147889.78,"21-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Kingdom Housing Association limited",73498.8,"21-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Kingdom Housing Association limited",130007.8,"21-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Grampian Housing Association Limited",53413.01,"21-05-2010","Mortgage to rent Cap Grts to Priv Sect","Housing & Regeneration"
"Ore Valley Housing Association",35282.39,"21-05-2010","Mortgage to rent Cap Grts to Priv Sect","Housing & Regeneration"
"Clyde Valley Housing Association",25118.5,"21-05-2010","Mortgage to rent Cap Grts to Priv Sect","Housing & Regeneration"
"Manor Estates Housing Association",74400,"21-05-2010","Mortgage to rent Cap Grts to Priv Sect","Housing & Regeneration"
"East Lothian Council",96498.48,"21-05-2010","Mortgage to Rent Cap. Grt LA's","Housing & Regeneration"
"Midlothian Council",66202.58,"21-05-2010","Mortgage to Rent Cap. Grt LA's","Housing & Regeneration"
"West Lothian Council Economic Development",66498.48,"21-05-2010","Mortgage to Rent Cap. Grt LA's","Housing & Regeneration"
"West Fife Enterprise Limited",56015.08,"21-05-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Enterprise and Energy"
"Dumfries and Galloway Council",843184.92,"21-05-2010","Pathfinder Project","Business, Enterprise and Energy"
"Ingenza Limited",34452,"21-05-2010","Smart: Scotland Grant Instalment","Business, Enterprise and Energy"
"Scottish Credit & Qualifications Framework (SCQF)",142500,"21-05-2010","Grant Payment to Scottish Credit and Qualifications Framework for running costs for 1st quarter","Lifelong Learning"
"Department for Business, Innovation & Skills",365416.67,"21-05-2010","SLC student loans administration costs for June","Lifelong Learning"
"Department for Business, Innovation & Skills",793653.74,"21-05-2010","SLC student loans administration costs for April & May","Lifelong Learning"
"NHS Institute for Innovation & Improvement",34075,"21-05-2010","Diabetes Expenditure","Healthcare Policy and Strategy"
"Abbey Business Centres Limited",26931,"21-05-2010","Rental of office space for Gender Based Violence Programm Team","Healthcare Policy and Strategy"
"Scottish Partnership For Palliative Care",112000,"21-05-2010","Palliative Care","Healthcare Policy and Strategy"
"University Of Stirling",56525,"21-05-2010","Improve Mental Health Services","Primary & Community Care"
"University Of Glasgow",59355,"21-05-2010","Health Services Research","Chief Medical Officer"
"University Of Dundee",30206,"21-05-2010","Health Services Research","Chief Medical Officer"
"Scottish Legal Aid Board",3436000,"21-05-2010","Legal Aid Fund","Justice Directorate"
"Police Complaints Commissioner for Scotland",250000,"21-05-2010","Police Complaints Body","Police & Community Safety"
"Accor Corporate Services",91662.53,"21-05-2010","Child Care Vchr Scheme","Finance"
"Mackay Properties (Perth) Limited",126009.06,"21-05-2010","Accommodation charge incl. rent, rates etc","Human Resources & Corporate Services"
"Reith Lambert Limited",66528.37,"21-05-2010","Accommodation charge incl. rent, rates etc","Human Resources & Corporate Services"
"Scottish Power plc",59717.35,"21-05-2010","Fuel & UtiIities","Human Resources & Corporate Services"
"Pertemps Group Of Companies, The",65024.52,"21-05-2010","Agency Casual Staff Costs","Human Resources & Corporate Services"
"Carlson Wagonlit Travel UK Limited",72022.76,"21-05-2010","Scottish Government travel booked by appointed SG travel agent","Human Resources & Corporate Services"
"Department of Energy & Climate Change (DECC)",36584,"24-05-2010","Climate Change- Policy Dev & Imp","Climate Change & Water Industry"
"Seazone Solutions Limited",31771.5,"24-05-2010","Renewal of Computer Software Contract","Marine Scotland Directorate"
"Perth and Kinross Council",70400,"24-05-2010","Warm Deal Cap Grts to LAs","Housing & Regeneration"
"Scottish Interfaith Council",38761.17,"24-05-2010","Equality Development","Equality, Social Inclusion and Sport"
"East Lothian Women's Aid",38423.25,"24-05-2010","Equality Development","Equality, Social Inclusion and Sport"
"East Renfrewshire Women's Aid",25572.04,"24-05-2010","Equality Development","Equality, Social Inclusion and Sport"
"Stirling Council",30700.75,"24-05-2010","Equality Development","Equality, Social Inclusion and Sport"
"Perthshire Women's Aid",32798.5,"24-05-2010","Equality Development","Equality, Social Inclusion and Sport"
"Citizens Advice Scotland",35000,"24-05-2010","Promoting Social Inclusion","Equality, Social Inclusion and Sport"
"Macmillan Cancer Support",144500,"24-05-2010","Promoting Social Inclusion","Equality, Social Inclusion and Sport"
"Citizens Advice Scotland",37500,"24-05-2010","Promoting Social Inclusion","Equality, Social Inclusion and Sport"
"Cairn Housing Association Limited",677269.95,"24-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Clyde Valley Housing Association",102210.45,"24-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Clyde Valley Housing Association",25090,"24-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Clydesdale Housing Association Limited",142631.9,"24-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Clyde Valley Housing Association",173808.1,"24-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Clyde Valley Housing Association",100202.81,"24-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Clyde Valley Housing Association",33903.4,"24-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Link Group Limited",175882.1,"24-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Cube Housing Association Limited",26526.45,"24-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Cloch Housing Association limited",65520.5,"24-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Scottish Arts Council",3500000,"24-05-2010","Scottish Arts Council","Culture, External Affairs and Tourism"
"Scottish Mentoring Network",36965,"24-05-2010","CYPF - Unified Voluntary Sector Fund","Children, Young People and Social Care"
"University Of Edinburgh",66661.69,"24-05-2010","European Regional Development Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Enterprise and Energy"
"Scottish Stem Cell Network",28769.36,"24-05-2010","European Regional Development Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Enterprise and Energy"
"Almac Sciences (Scotland) Limited",73682,"24-05-2010","Smart: Scotland Grant Instalment","Business, Enterprise and Energy"
"Department for Business, Innovation & Skills",324890.54,"24-05-2010","Debt Sale Subsidy (Payments)","Lifelong Learning"
"Scottish Funding Council for Further and Higher Education",217623,"24-05-2010","Reimbursement of Education MaintenanceAllowance","Lifelong Learning"
"Eastern Airways UK Limited",32991.87,"24-05-2010","Air Discount Scheme","Transport Directorate"
"Shetland Health Board",1000000,"24-05-2010","Cash Advances To Health Boards","Health Finance"
"Royal College of General Practitioners",36689.75,"24-05-2010","Improve Mental Health Services","Primary & Community Care"
"Princess Royal Trust for Carers",70000,"24-05-2010","Section 10 Grants","Primary & Community Care"
"ASH Scotland",63750,"24-05-2010","Smoking & Tobacco Control","Public Health and Health Improvement"
"ASH Scotland",118750,"24-05-2010","Smoking & Tobacco Control","Public Health and Health Improvement"
"Lothian and Borders Joint Police Board",378500,"24-05-2010","Safety Cameras","Police & Community Safety"
"Dundee City Council",156378,"24-05-2010","Safety Cameras","Police & Community Safety"
"Fife Council",121052,"24-05-2010","Safety Cameras","Police & Community Safety"
"Aberdeenshire Council",211667,"24-05-2010","Safety Cameras","Police & Community Safety"
"North Lanarkshire Council",404629,"24-05-2010","Safety Cameras","Police & Community Safety"
"Dumfries and Galloway Council",157575,"24-05-2010","Safety Cameras","Police & Community Safety"
"Northern Joint Police Board",79750,"24-05-2010","Safety Cameras","Police & Community Safety"
"Central Scotland Joint Police Board",98750,"24-05-2010","Safety Cameras","Police & Community Safety"
"Scottish Drugs Forum",60000,"24-05-2010","Drug Misuse","Police & Community Safety"
"Glasgow City Council",70000,"25-05-2010","Noise & Air Quality Action","Environmental Quality"
"Mr Xavier Namy",274056.53,"25-05-2010","Scottish Rural Development Programme","Rural Payments & Inspections Directorate"
"The Firm of Joseph Henderson",144800,"25-05-2010","Scottish Rural Development Programme","Rural Payments & Inspections Directorate"
"Laeso Fish Limited",340000,"25-05-2010","EFF Grant Payment","Marine Scotland Directorate"
"Marine Institute",36108.61,"25-05-2010","MS Science FRV Charter Costs*","Marine Scotland Directorate"
"Ownership Options in Scotland",59504,"25-05-2010","Housing Voluntary Bodies","Housing & Regeneration"
"SAIC Limited",26844.93,"25-05-2010","E-Planning Revenue","Directorate for the Built Environment"
"Nil By Mouth",26682.8,"25-05-2010","Equality Development","Equality, Social Inclusion and Sport"
"Perthshire Housing Association Limited",370074,"25-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Hillcrest Housing Association Limited",94226.51,"25-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Servite Housing Association",604604.27,"25-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Perthshire Housing Association Limited",108842.6,"25-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Servite Housing Association",38066.56,"25-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Angus Housing Association Limited",132522.91,"25-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Perthshire Housing Association Limited",45628,"25-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Bord Gaidhlig na h-Alba",241552,"25-05-2010","Bord na Gaidhlig (Alba)","Culture, External Affairs and Tourism"
"Stirling Council",140000,"25-05-2010","GTS To Las Gaelic Educ","Culture, External Affairs and Tourism"
"Renfrewshire Council",35000,"25-05-2010","GTS To Las Gaelic Educ","Culture, External Affairs and Tourism"
"Storlann Naiseanta Na Gaidhlig",560000,"25-05-2010","GTS To Las Gaelic Educ","Culture, External Affairs and Tourism"
"Comhairle Nan Eilean Siar",985000,"25-05-2010","GTS To Las Gaelic Educ","Culture, External Affairs and Tourism"
"Argyll and Bute Council",375000,"25-05-2010","GTS To Las Gaelic Educ","Culture, External Affairs and Tourism"
"East Ayrshire Council",150000,"25-05-2010","GTS To Las Gaelic Educ","Culture, External Affairs and Tourism"
"Glasgow City Council",510000,"25-05-2010","GTS To Las Gaelic Educ","Culture, External Affairs and Tourism"
"BT Plc",378733.05,"25-05-2010","PVG Act Implementation","Children, Young People and Social Care"
"Scottish Social Services Council",150000,"25-05-2010","Scottish Social Services Council Resource","Children, Young People and Social Care"
"Inverclyde Council",126939.81,"25-05-2010","European Regional Development Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Enterprise and Energy"
"Right Track (Scotland) Limited",46207.24,"25-05-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Enterprise and Energy"
"Ciqual Ltd",100000,"25-05-2010","Regional Selective Assistance Grant Instalment","Business, Enterprise and Energy"
"The British Council",218160,"25-05-2010","Contribution to the UK India Education and Research Initiative UKIERI","Lifelong Learning"
"Lanarkshire NHS Board",4000000,"25-05-2010","Cash Advances To Health Boards","Health Finance"
"National Policing Improvement Agency (NPIA)",58056.75,"25-05-2010","Impact Nominal Index","Police & Community Safety"
"Facilities Management (Aberdeen) Limited",27171.88,"25-05-2010","Accommodation charge incl. rent, rates etc","Human Resources & Corporate Services"
"MITIE Technical Facilities Management Limited (FNA Dalkia)",161771.7,"25-05-2010","Maintenance/Repairs","Human Resources & Corporate Services"
"MITIE Technical Facilities Management Limited (FNA Dalkia)",28216.66,"25-05-2010","Maintenance/Repairs","Human Resources & Corporate Services"
"MITIE Technical Facilities Management Limited (FNA Dalkia)",72955.26,"25-05-2010","Maintenance/Repairs","Human Resources & Corporate Services"
"Gartner Group UK Limited",29845.02,"25-05-2010","Project Support Services","Human Resources & Corporate Services"
"AMTEC Consulting plc",89824.94,"25-05-2010","System Support Costs - Other","Human Resources & Corporate Services"
"South Ayrshire Council",3971115,"25-05-2010","General Revenue Grant","Public Service Reform"
"Moray Council",3159962,"25-05-2010","General Revenue Grant","Public Service Reform"
"Scottish Borders Council",4225538,"25-05-2010","General Revenue Grant","Public Service Reform"
"Fife Council",12641808,"25-05-2010","General Revenue Grant","Public Service Reform"
"Falkirk Council",5404000,"25-05-2010","General Revenue Grant","Public Service Reform"
"North Lanarkshire Council",12293212,"25-05-2010","General Revenue Grant","Public Service Reform"
"Glasgow City Council",26009250,"25-05-2010","General Revenue Grant","Public Service Reform"
"West Lothian Council",5845596,"25-05-2010","General Revenue Grant","Public Service Reform"
"Orkney Islands Council",1405404,"25-05-2010","General Revenue Grant","Public Service Reform"
"North Ayrshire Council",5309865,"25-05-2010","General Revenue Grant","Public Service Reform"
"Dumfries and Galloway Council",5915577,"25-05-2010","General Revenue Grant","Public Service Reform"
"Clackmannanshire Council",1867538,"25-05-2010","General Revenue Grant","Public Service Reform"
"Shetland Islands Council",1833462,"25-05-2010","General Revenue Grant","Public Service Reform"
"Stirling Council",3349923,"25-05-2010","General Revenue Grant","Public Service Reform"
"Inverclyde Council",3374269,"25-05-2010","General Revenue Grant","Public Service Reform"
"Dundee City Council",5812577,"25-05-2010","General Revenue Grant","Public Service Reform"
"City of Edinburgh Council",14706577,"25-05-2010","General Revenue Grant","Public Service Reform"
"Aberdeenshire Council",8009115,"25-05-2010","General Revenue Grant","Public Service Reform"
"West Dunbartonshire Council",3934827,"25-05-2010","General Revenue Grant","Public Service Reform"
"Renfrewshire Council",6311354,"25-05-2010","General Revenue Grant","Public Service Reform"
"Comhairle Nan Eilean Siar",2161654,"25-05-2010","General Revenue Grant","Public Service Reform"
"Highland Council, The",9192519,"25-05-2010","General Revenue Grant","Public Service Reform"
"East Ayrshire Council",4494538,"25-05-2010","General Revenue Grant","Public Service Reform"
"Aberdeen City Council",6585135,"25-05-2010","General Revenue Grant","Public Service Reform"
"Angus Council",4035923,"25-05-2010","General Revenue Grant","Public Service Reform"
"South Lanarkshire Council",11054904,"25-05-2010","General Revenue Grant","Public Service Reform"
"Midlothian Council",2977596,"25-05-2010","General Revenue Grant","Public Service Reform"
"East Renfrewshire Council",3408962,"25-05-2010","General Revenue Grant","Public Service Reform"
"East Dunbartonshire Council",3557442,"25-05-2010","General Revenue Grant","Public Service Reform"
"Perth and Kinross Council",4860923,"25-05-2010","General Revenue Grant","Public Service Reform"
"East Lothian Council",3279923,"25-05-2010","General Revenue Grant","Public Service Reform"
"Argyll and Bute Council",4260904,"25-05-2010","General Revenue Grant","Public Service Reform"
"Local Communities Development Trust",61770,"25-05-2010","Localism - funding which supports the third sector","Public Service Reform"
"ASCO UK Limited",53282.94,"26-05-2010","MS Science FRV Fuel/Lubricate*","Marine Scotland Directorate"
"Shetland Islands Council",101401,"26-05-2010","Housing Costs AME","Housing & Regeneration"
"Scottish Womens Aid",93897.25,"26-05-2010","Equality Development","Equality, Social Inclusion and Sport"
"One Parent Families Scotland",62465,"26-05-2010","Promoting Social Inclusion","Equality, Social Inclusion and Sport"
"Counselling & Family Mediation Scotland",237000,"26-05-2010","Early Years","Children, Young People and Social Care"
"Stow College",27152.31,"26-05-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Enterprise and Energy"
"Scottish Enterprise",2680000,"26-05-2010","European Regional Development Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Enterprise and Energy"
"Community Energy Scotland",70282.92,"26-05-2010","Renewable Energy","Business, Enterprise and Energy"
"Carbon Trust, The",250000,"26-05-2010","Energy Efficiency Promotion","Business, Enterprise and Energy"
"Gigle Semiconductor Limited",501503,"26-05-2010","Smart: Scotland Grant Instalment","Business, Enterprise and Energy"
"Skycon Ltd",1600000,"26-05-2010","Regional Selective Assistance Grant Instalment","Business, Enterprise and Energy"
"Strathclyde Partnership for Transport",660000,"26-05-2010","Regional Transport Partnerships Capital Projects","Transport Directorate"
"NESTRANS",75000,"26-05-2010","Regional Transport Partnerships Revenue Costs","Transport Directorate"
"Shetland Islands Council",27000,"26-05-2010","Regional Transport Partnerships Revenue Costs","Transport Directorate"
"Highland Council, The",32000,"26-05-2010","Regional Transport Partnerships Revenue Costs","Transport Directorate"
"(TACTRAN)",50000,"26-05-2010","Regional Transport Partnerships Revenue Costs","Transport Directorate"
"City of Edinburgh Council",55000,"26-05-2010","Regional Transport Partnerships Revenue Costs","Transport Directorate"
"Loganair Limited",392770.7,"26-05-2010","Air Discount Scheme","Transport Directorate"
"Scottish Commission for the Regulation of Care",1146000,"26-05-2010","SCRC - Care Commission - Grant in Aid","Primary & Community Care"
"Scottish Legal Aid Board",997000,"26-05-2010","Slab Salaries Etc","Justice Directorate"
"North Ayrshire Council",788616,"26-05-2010","Community Justice Authorities Grant","Justice Directorate"
"Dundee City Council",670177,"26-05-2010","Community Justice Authorities Grant","Justice Directorate"
"Glasgow City Council",1500694,"26-05-2010","Community Justice Authorities Grant","Justice Directorate"
"Aberdeen City Council",975368,"26-05-2010","Community Justice Authorities Grant","Justice Directorate"
"Renfrewshire Council",886905,"26-05-2010","Community Justice Authorities Grant","Justice Directorate"
"Clackmannanshire Council",994563,"26-05-2010","Community Justice Authorities Grant","Justice Directorate"
"South Lanarkshire Council",975241,"26-05-2010","Community Justice Authorities Grant","Justice Directorate"
"City of Edinburgh Council",1187364,"26-05-2010","Community Justice Authorities Grant","Justice Directorate"
"Ryden I P C",28056.36,"26-05-2010","Accommodation charge incl. rent, rates etc","Human Resources & Corporate Services"
"Pertemps Group Of Companies, The",78156.35,"26-05-2010","Agency Casual Staff Costs","Human Resources & Corporate Services"
"Carlson Wagonlit Travel UK Limited",34814.88,"26-05-2010","Scottish Government travel booked by appointed SG travel agent","Human Resources & Corporate Services"
"Newhaven Communications Ltd",32366.79,"26-05-2010","Strategic Communications - Active Nation Scottish Cup","Communications Directorate"
"Scottish Crop Research Institute",42271,"27-05-2010","C of E/EHH Payments","Rural & Environmental Research & Analysis"
"Scottish Agricultural College",59166.67,"27-05-2010","Employers Cons - Research","Rural & Environmental Research & Analysis"
"Stephen Anderson t/a Sandsound Mussels",69300,"27-05-2010","EFF Grant Payment","Marine Scotland Directorate"
"O B Fishing Company Limited",28000,"27-05-2010","EFF Grant Payment","Marine Scotland Directorate"
"Barr Limited (CIS only)",1165348.76,"27-05-2010","MS Science Major Bldg Work & Refurb.*","Marine Scotland Directorate"
"British Gas Trading Limited t/a British Gas Business",758337.95,"27-05-2010","EAP-Management Fees","Housing & Regeneration"
"British Gas Trading Limited t/a British Gas Business",793572.07,"27-05-2010","EAP-Managing Agent","Housing & Regeneration"
"River Clyde Homes",490400,"27-05-2010","COP Support Business Plan Cap Gr PS","Housing & Regeneration"
"River Clyde Homes",939271.46,"27-05-2010","COP Support Business Plan Cap Gr PS","Housing & Regeneration"
"River Clyde Homes",857930.97,"27-05-2010","COP Support Business Plan Cap Gr PS","Housing & Regeneration"
"River Clyde Homes",47500,"27-05-2010","COP Support Business Plan Cap Gr PS","Housing & Regeneration"
"Cube Housing Association Limited",26786.8,"27-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Fyne Homes Limited",111425.22,"27-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Fyne Homes Limited",50745,"27-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Fyne Initiatives",232887.97,"27-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Castle Rock Edinvar HA",147651,"27-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Comunn Na Gaidhlig",70000,"27-05-2010","GTS To Las Gaelic Educ","Culture, External Affairs and Tourism"
"Youthlink Scotland",62530,"27-05-2010","CYPF - Unified Voluntary Sector Fund","Children, Young People and Social Care"
"Youthlink Scotland",250000,"27-05-2010","Youth Work","Children, Young People and Social Care"
"Young Scot",28000,"27-05-2010","Youth Work","Children, Young People and Social Care"
"STAAF",46500,"27-05-2010","CYPF - Unified Voluntary Sector Fund","Children, Young People and Social Care"
"Highlands and Islands Enterprise",2000000,"27-05-2010","Grant in Aid Payment to Highlands and Islands Enterprise","Business, Enterprise and Energy"
"Social Enterprise Academy",45684.8,"27-05-2010","European Social Fund: Highland and Islands 2007-2013 Programme","Business, Enterprise and Energy"
"Forestry Commission",35144.56,"27-05-2010","European Social Fund: Highland and Islands 2007-2013 Programme","Business, Enterprise and Energy"
"Comhairle Nan Eilean Siar",57392.82,"27-05-2010","European Regional Development Fund: Highland and Islands 2007-2013 Programme","Business, Enterprise and Energy"
"Moray Council",25038.18,"27-05-2010","European Regional Development Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Enterprise and Energy"
"Forth Sector",175039.88,"27-05-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Enterprise and Energy"
"Farm Animal Genetics & Genomics Faraday Partnership Ltd",30687.66,"27-05-2010","European Regional Development Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Enterprise and Energy"
"Scottish Health Innovations Limited",42820.17,"27-05-2010","European Regional Development Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Enterprise and Energy"
"Inverclyde Council",473322.56,"27-05-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Enterprise and Energy"
"Glasgow Caledonian University",34326.93,"27-05-2010","SEEKIT - Knowledge Exchange Programme","Business, Enterprise and Energy"
"Carbon Trust, The",200000,"27-05-2010","Energy Efficiency Promotion","Business, Enterprise and Energy"
"Re-Tek UK Ltd",35000,"27-05-2010","Regional Selective Assistance Grant Instalment","Business, Enterprise and Energy"
"FDR Ltd",390000,"27-05-2010","Regional Selective Assistance Grant Instalment","Business, Enterprise and Energy"
"Student Loans Company Limited",4026299,"27-05-2010","Student Loan Advances","Lifelong Learning"
"Renfrewshire Council",156587,"27-05-2010","Funding to support enterprise in education - local delivery","Lifelong Learning"
"Department Of Health",317777.24,"27-05-2010","National H1N1 Pandemic Flu Communications Campaign","Health Delivery"
"Thalidomide Trust",1700000,"27-05-2010","Thalidomide survivors support","Primary & Community Care"
