"Payee","Amount","Date","Description","Directorate"
"North Ayrshire Council",42107.64,"13-04-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"City of Edinburgh Council",527844.54,"13-04-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"West Lothian Council",176896.54,"13-04-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"Highland Council, The",1877261.64,"13-04-2010","Pathfinder Project","Business, Energy"
"University of the West of Scotland",46360.28,"13-04-2010","SEEKIT - Knowledge Exchange Programme","Business, Energy"
"Scottish Health Innovations Limited",100000,"13-04-2010","NHS Programme Grants","Chief Medical Officer"
"Glasgow Caledonian University",58240,"13-04-2010","Project 2000 Bursary Awards","Chief Nursing Officer"
"Community Central Hall Limited",33000,"13-04-2010","Vale of Leven Public Inquiry Secondee and Non DRC Secretariat","Chief Nursing Officer"
"Sustainable Development Commission",75000,"13-04-2010","Current Gts","Greener Scotland Directorate"
"Sustainable Development Commission",81658.99,"13-04-2010","Current Gts","Greener Scotland Directorate"
"PriceWaterhouseCoopers",61850.83,"13-04-2010","National Patient Experience programme","Healthcare Policy and Strategy"
"Long Term Conditions Alliance Scotland(LTCAS)",500000,"13-04-2010","Self Care","Healthcare Policy and Strategy"
"Long Term Conditions Alliance Scotland (LTCAS)",563000,"13-04-2010","Self Care","Healthcare Policy and Strategy"
"Lothian & Borders Police",82976.7,"13-04-2010","Seconded Staff Costs","HM Inspectorate of Constabulary"
"Dumfries and Galloway Council",1965000,"13-04-2010","Town Centre Regeneration Fund Grant","Housing & Regeneration"
"Aberdeen City Council",576200,"13-04-2010","Town Centre Regeneration Fund Grant","Housing & Regeneration"
"British Gas Trading Limited t/a British Gas Business",420668.54,"13-04-2010","Energy Assistance Programme - Managing Agent","Housing & Regeneration"
"TNS UK Limited t/a TNS BMRB",119417.94,"13-04-2010","Household Survey","Housing & Regeneration"
"Grampian Housing Association Limited",79586.53,"13-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Grampian Housing Association Limited",445608.59,"13-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Grampian Housing Association Limited",659399.82,"13-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Dundas & Wilson CS LLP",43879.32,"13-04-2010","Legal Costs","Housing & Regeneration"
"Glasgow City Council",5966833.54,"13-04-2010","CBHA Reprov EAP Cap Gts to LA's","Housing & Regeneration"
"Link Homes Limited",27102,"13-04-2010","Shared Equity Housing - Advances","Housing & Regeneration"
"Glasgow City Council",4250435.67,"13-04-2010","Dev Prog Cap Gts to LA'S","Housing & Regeneration"
"Link Homes Limited",40052,"13-04-2010","Shared Equity Housing - Advances","Housing & Regeneration"
"Eildon Housing Association",39055.41,"13-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Scottish Borders Housing Association Limited",99307.5,"13-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Eildon Housing Association",277126.34,"13-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Eildon Housing Association",85946.39,"13-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"National Trust For Scotland",41125,"13-04-2010","Accommodation charge incl. rent, rates etc","Human Resources & Corporate Services"
"Computercab (Edinburgh) Limited",29088.52,"13-04-2010","Travel Costs","Human Resources & Corporate Services"
"Scottish Legal Aid Board",2952000,"13-04-2010","Legal Aid Fund","Justice Directorate"
"STUC Training Limited",30518.32,"13-04-2010","Union Learning","Lifelong Learning"
"Inspiring Scotland",2000000,"13-04-2010","Inspiring Scotlands 14-19 year olds","Lifelong Learning"
"Stirling Council",70756,"13-04-2010","DtS: Local Government","Lifelong Learning"
"Angus Council",466877,"13-04-2010","DtS: Local Government","Lifelong Learning"
"Hjaltland Seafarms Limited",86030,"13-04-2010","European Fisheries Fund Grant","Marine Scotland Directorate"
"Kames Marine Fish Farming Limited",53297,"13-04-2010","European Fisheries Fund Grant","Marine Scotland Directorate"
"Taylor and Fraser Limited",125495.43,"13-04-2010","Building additions - Scottish Fire Services College","Police & Community Safety"
"Morris & Spottiswood Limited (CIS Only)",302924.58,"13-04-2010","Building additions - Scottish Fire Services College","Police & Community Safety"
"Leith Agency Limited, The",35298.18,"13-04-2010","National Care Standards Alternative Form","Primary & Community Care"
"Union Advertising Agency Limited, The",34830.29,"13-04-2010","Social Marketing for Health Improvement ","Public Health and Health Improvement"
"Union Advertising Agency Limited, The",41365.58,"13-04-2010","Social Marketing for Health Improvement ","Public Health and Health Improvement"
"Union Advertising Agency Limited, The",51086.46,"13-04-2010","Social Marketing for Health Improvement ","Public Health and Health Improvement"
"City of Edinburgh Council",14706577,"13-04-2010","General Revenue Grant","Public Service Reform"
"Orkney Islands Council",1405404,"13-04-2010","General Revenue Grant","Public Service Reform"
"Midlothian Council",2977596,"13-04-2010","General Revenue Grant","Public Service Reform"
"Highland Council, The",9192519,"13-04-2010","General Revenue Grant","Public Service Reform"
"Fife Council",12641808,"13-04-2010","General Revenue Grant","Public Service Reform"
"East Dunbartonshire Council",3557442,"13-04-2010","General Revenue Grant","Public Service Reform"
"Dundee City Council",5812577,"13-04-2010","General Revenue Grant","Public Service Reform"
"Argyll and Bute Council",4260904,"13-04-2010","General Revenue Grant","Public Service Reform"
"Inverclyde Council",3374269,"13-04-2010","General Revenue Grant","Public Service Reform"
"Shetland Islands Council",1833462,"13-04-2010","General Revenue Grant","Public Service Reform"
"Comhairle Nan Eilean Siar",2161654,"13-04-2010","General Revenue Grant","Public Service Reform"
"Angus Council",4035923,"13-04-2010","General Revenue Grant","Public Service Reform"
"Renfrewshire Council",6354000,"13-04-2010","General Revenue Grant","Public Service Reform"
"East Ayrshire Council",4494538,"13-04-2010","General Revenue Grant","Public Service Reform"
"Clackmannanshire Council",1867538,"13-04-2010","General Revenue Grant","Public Service Reform"
"West Dunbartonshire Council",3934827,"13-04-2010","General Revenue Grant","Public Service Reform"
"Glasgow City Council",26009250,"13-04-2010","General Revenue Grant","Public Service Reform"
"East Renfrewshire Council",3408962,"13-04-2010","General Revenue Grant","Public Service Reform"
"Scottish Borders Council",4225538,"13-04-2010","General Revenue Grant","Public Service Reform"
"Falkirk Council",5404000,"13-04-2010","General Revenue Grant","Public Service Reform"
"Dumfries and Galloway Council",5915577,"13-04-2010","General Revenue Grant","Public Service Reform"
"Aberdeenshire Council",8009115,"13-04-2010","General Revenue Grant","Public Service Reform"
"Aberdeen City Council",6585135,"13-04-2010","General Revenue Grant","Public Service Reform"
"South Lanarkshire Council",11054904,"13-04-2010","General Revenue Grant","Public Service Reform"
"Perth and Kinross Council",4860923,"13-04-2010","General Revenue Grant","Public Service Reform"
"North Ayrshire Council",5309865,"13-04-2010","General Revenue Grant","Public Service Reform"
"South Ayrshire Council",3971115,"13-04-2010","General Revenue Grant","Public Service Reform"
"Stirling Council",3349923,"13-04-2010","General Revenue Grant","Public Service Reform"
"Moray Council",3159962,"13-04-2010","General Revenue Grant","Public Service Reform"
"North Lanarkshire Council",12293212,"13-04-2010","General Revenue Grant","Public Service Reform"
"East Lothian Council",3279923,"13-04-2010","General Revenue Grant","Public Service Reform"
"West Lothian Council",5845596,"13-04-2010","General Revenue Grant","Public Service Reform"
"Improvement Service",28223.09,"13-04-2010","Hosting Costs for the National Gazetteer","Public Service Reform"
"Ordnance Survey",5899847.94,"13-04-2010","Geographic Information Scotland","Public Service Reform"
"Reforesting Scotland",34866.68,"13-04-2010","Third Sector Enterprise Fund","Public Service Reform"
"House of Craigie Cottages",39080.79,"13-04-2010","Scotland Rural Development Programme","Rural Payments & Inspections Directorate"
"JOHN A JUNOR",32998.58,"13-04-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"WILSON R STEWART",32540.57,"13-04-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"West Dunbartonshire Council",164000,"13-04-2010","Cycling, Walking and Safer Streets","Transport Directorate"
"Scottish Enterprise",16743000,"14-04-2010","Grant in Aid Payment to Scottish Enterprise","Business, Energy"
"Glasgow Southwest Regeneration Agency",76535.46,"14-04-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013Programme","Business, Energy"
"Glasgow Metropolitan College",72532.12,"14-04-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"West Lothian College",44055.96,"14-04-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"Glasgow Caledonian University",29455,"14-04-2010","SEEKIT - Knowledge Exchange Programme","Business, Energy"
"Halcrow Group Limited",59847.74,"14-04-2010","Renewable Energy: Marine Strategic Environmental Assessment","Business, Energy"
"Velos IT Limited",35000,"14-04-2010","Regional Selective Assistance Grant Instalment","Business, Energy"
"BPI Ind A Division of British Polythene",300000,"14-04-2010","Regional Selective Assistance Grant Instalment","Business, Energy"
"Bcerta Limited",60000,"14-04-2010","Regional Selective Assistance Grant Instalment","Business, Energy"
"NPI Solutions",30000,"14-04-2010","Regional Selective Assistance Grant Instalment","Business, Energy"
"BT Plc",282000,"14-04-2010","PVG Act Implementation","Children, Young People and Social Care"
"Christian Aid Scotland",50000,"14-04-2010","International Development","Culture, External Affairs and Tourism"
"Glasgow Caledonian University",153815,"14-04-2010","Zero Waste Scotland","Rural and Environment"
"Community Recycling Network Scotland (CRNS)",45186,"14-04-2010","Zero Waste Scotland","Rural and Environment"
"Economic & Social Research Council (ESRC)",35500,"14-04-2010","New ASD Research","Health Finance"
"Lothian & Borders Police",25069.35,"14-04-2010","Seconded Staff Costs","HM Inspectorate of Constabulary"
"Moray Council",653454,"14-04-2010","Town Centre Regeneration Fund Grant","Housing & Regeneration"
"Shelter Scotland",45170,"14-04-2010","Housing Voluntary Bodies","Housing & Regeneration"
"Angus Council",64000,"14-04-2010","Warm Deal- Cap Grts to RSL's","Housing & Regeneration"
"South Lanarkshire Council",63030,"14-04-2010","Central Heating Initiative-Cap Grt to Priv Sect","Housing & Regeneration"
"Lochaber Housing Association Limited",337830.05,"14-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Clyde Valley Housing Association",180576.93,"14-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Ayrshire Housing",73528.5,"14-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Clyde Valley Housing Association",229526.78,"14-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Dumfries & Galloway Housing Partnership",202975.01,"14-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Clyde Valley Housing Association",306790.77,"14-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Clyde Valley Housing Association",154564.52,"14-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"City of Edinburgh Council",47000,"14-04-2010","Accommodation charge incl. rent, rates etc","Human Resources & Corporate Services"
"Carlson Wagonlit Travel UK Limited",40314.52,"14-04-2010","Scottish Government travel booked by appointed SG travel agent","Human Resources & Corporate Services"
"Scottish Prison Service",10000000,"14-04-2010","Cash Funding to Non SEAS Agencies","Justice & Communities"
"Dundee City Council",40161,"14-04-2010","Offender Services Secondments","Justice Directorate"
"Glasgow City Council",92198,"14-04-2010","Offender Services Secondments","Justice Directorate"
"North Ayrshire Council",45528,"14-04-2010","Offender Services Secondments","Justice Directorate"
"Aberdeen City Council",61090,"14-04-2010","Offender Services Secondments","Justice Directorate"
"Aberdeen City Council",143050,"14-04-2010","Airbourne/Fairbridge Venture T","Justice Directorate"
"Renfrewshire Council",53417,"14-04-2010","Offender Services Secondments","Justice Directorate"
"Strathclyde Police",90934.45,"14-04-2010","Youth Courts","Justice Directorate"
"City of Edinburgh Council",110011,"14-04-2010","Offender Services Secondments","Justice Directorate"
"Daily Record",52875,"14-04-2010","Enterprise in Education","Lifelong Learning"
"SFF Services Limited",51586,"14-04-2010","European Fisheries Fund Grant","Marine Scotland Directorate"
"Morris Richards Limited",40698.48,"14-04-2010","Court Affairs Analytical Team","Police & Community Safety"
"NHS National Services Scotland",44470,"14-04-2010","Police Analytical Team (formerly Drugs Misuse)","Police & Community Safety"
"Department for Communities & Local Government (DCLG)",28077.41,"14-04-2010","Firelink Revenue","Police & Community Safety"
"Strathclyde Police",18162219,"14-04-2010","Grants To Police Auth Etc","Police & Community Safety"
"Strathclyde Police",8024083,"14-04-2010","Police Pensions","Police & Community Safety"
"Fife Council",64891,"14-04-2010","Police Grants On Loan Charges","Police & Community Safety"
"Northern Joint Police Board",69727,"14-04-2010","Police Grants On Loan Charges","Police & Community Safety"
"Tayside Joint Police Board",61949,"14-04-2010","Police Grants On Loan Charges","Police & Community Safety"
"Tayside Joint Police Board",1138917,"14-04-2010","Police Pensions","Police & Community Safety"
"Lothian and Borders Joint Police Board",2812750,"14-04-2010","Police Pensions","Police & Community Safety"
"Grampian Joint Police Board",1075667,"14-04-2010","Police Pensions","Police & Community Safety"
"Strathclyde Police",237188,"14-04-2010","Police Grants On Loan Charges","Police & Community Safety"
"Fife Council",2424500,"14-04-2010","Grants To Police Auth Etc","Police & Community Safety"
"Lothian and Borders Joint Police Board",7115063,"14-04-2010","Grants To Police Auth Etc","Police & Community Safety"
"Dumfries and Galloway Council",376333,"14-04-2010","Police Pensions","Police & Community Safety"
"Central Scotland Joint Police Board",1960725,"14-04-2010","Grants To Police Auth Etc","Police & Community Safety"
"Northern Joint Police Board",2098038,"14-04-2010","Grants To Police Auth Etc","Police & Community Safety"
"Dumfries and Galloway Council",1139694,"14-04-2010","Grants To Police Auth Etc","Police & Community Safety"
"Tayside Joint Police Board",2987319,"14-04-2010","Grants To Police Auth Etc","Police & Community Safety"
"Grampian Joint Police Board",3903413,"14-04-2010","Grants To Police Auth Etc","Police & Community Safety"
"Central Scotland Joint Police Board",49725,"14-04-2010","Police Grants On Loan Charges","Police & Community Safety"
"Lothian and Borders Joint Police Board",89866,"14-04-2010","Police Grants On Loan Charges","Police & Community Safety"
"Grampian Joint Police Board",58439,"14-04-2010","Police Grants On Loan Charges","Police & Community Safety"
"Fife Council",944083,"14-04-2010","Police Pensions","Police & Community Safety"
"Northern Joint Police Board",510750,"14-04-2010","Police Pensions","Police & Community Safety"
"Central Scotland Joint Police Board",729750,"14-04-2010","Police Pensions","Police & Community Safety"
"Lothian & Borders Police",94713,"14-04-2010","Police Special Grants","Police & Community Safety"
"Picker Institute Europe",294879.18,"14-04-2010","GP Patient Experience Survey for SG","Primary & Community Care"
"Princess Royal Trust for Carers",27383.25,"14-04-2010","Training and Info for unpaid Carers","Primary & Community Care"
"Shared Care Scotland",28127,"14-04-2010","Section 10 Grants","Primary & Community Care"
"Carers Scotland",30000,"14-04-2010","Section 10 Grants","Primary & Community Care"
"Aberdeen City Council",1107167,"14-04-2010","General Capital Grant","Public Service Reform"
"Shetland Islands Council",316500,"14-04-2010","General Capital Grant","Public Service Reform"
"Orkney Islands Council",325583,"14-04-2010","General Capital Grant","Public Service Reform"
"Fife Council",1391167,"14-04-2010","General Capital Grant","Public Service Reform"
"East Renfrewshire Council",196167,"14-04-2010","General Capital Grant","Public Service Reform"
"Argyll and Bute Council",650333,"14-04-2010","General Capital Grant","Public Service Reform"
"Angus Council",507583,"14-04-2010","General Capital Grant","Public Service Reform"
"Aberdeenshire Council",920833,"14-04-2010","General Capital Grant","Public Service Reform"
"East Ayrshire Council",348167,"14-04-2010","General Capital Grant","Public Service Reform"
"Perth and Kinross Council",662333,"14-04-2010","General Capital Grant","Public Service Reform"
"North Ayrshire Council",462750,"14-04-2010","General Capital Grant","Public Service Reform"
"Moray Council",1540000,"14-04-2010","General Capital Grant","Public Service Reform"
"South Ayrshire Council",442833,"14-04-2010","General Capital Grant","Public Service Reform"
"East Lothian Council",455333,"14-04-2010","General Capital Grant","Public Service Reform"
"Falkirk Council",626000,"14-04-2010","General Capital Grant","Public Service Reform"
"Dundee City Council",1036833,"14-04-2010","General Capital Grant","Public Service Reform"
"West Lothian Council",641750,"14-04-2010","General Capital Grant","Public Service Reform"
"Stirling Council",427500,"14-04-2010","General Capital Grant","Public Service Reform"
"South Lanarkshire Council",1172250,"14-04-2010","General Capital Grant","Public Service Reform"
"Scottish Borders Council",532917,"14-04-2010","General Capital Grant","Public Service Reform"
"North Lanarkshire Council",1262750,"14-04-2010","General Capital Grant","Public Service Reform"
"Glasgow City Council",4509167,"14-04-2010","General Capital Grant","Public Service Reform"
"City of Edinburgh Council",2923250,"14-04-2010","General Capital Grant","Public Service Reform"
"East Dunbartonshire Council",350917,"14-04-2010","General Capital Grant","Public Service Reform"
"Dumfries and Galloway Council",761250,"14-04-2010","General Capital Grant","Public Service Reform"
"West Dunbartonshire Council",497417,"14-04-2010","General Capital Grant","Public Service Reform"
"Highland Council, The",1298833,"14-04-2010","General Capital Grant","Public Service Reform"
"Renfrewshire Council",817833,"14-04-2010","General Capital Grant","Public Service Reform"
"Inverclyde Council",374000,"14-04-2010","General Capital Grant","Public Service Reform"
"Clackmannanshire Council",229250,"14-04-2010","General Capital Grant","Public Service Reform"
"Comhairle Nan Eilean Siar",499250,"14-04-2010","General Capital Grant","Public Service Reform"
"Midlothian Council",383167,"14-04-2010","General Capital Grant","Public Service Reform"
"Scottish Natural Heritage",28216.95,"14-04-2010","Seconded Staff Costs","Rural Affairs, Environment and Services"
"I & E Crichton",28654.5,"14-04-2010","Scotland Rural Development Programme","Rural Payments & Inspections Directorate"
"Mr & Mrs C W Jones",26969.84,"14-04-2010","Scotland Rural Development Programme","Rural Payments & Inspections Directorate"
"Jordanhill School",483951,"14-04-2010","Monthly grant payment to full grant maintained school","Learning Directorate"
"Office of National Statistics (ONS)",50758,"14-04-2010","Economic Research","Strategy & Ministerial Support Directorate"
"Halcrow Group Limited",27025,"14-04-2010","Freight Grants - Capital","Transport Directorate"
"Loganair Limited",154305.01,"14-04-2010","Lifeline Air Services Grants","Transport Directorate"
"West Dunbartonshire Council",46286.48,"15-04-2010","European Regional Development Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"Glasgow Southwest Regeneration Agency",36132.23,"15-04-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"University Of Edinburgh",147035.87,"15-04-2010","European Regional Development Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"Renfrewshire Council",62238.38,"15-04-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"NHS Greater Glasgow and Clyde",37862,"15-04-2010","Health Services Research","Chief Medical Officer"
"Scottish Pre School Play Association",52155.75,"15-04-2010","CYPF - Unified Voluntary Sector Fund","Children, Young People and Social Care"
"Specialist Computer Centres plc",25400.92,"15-04-2010","It H/Ware Additions","Culture, External Affairs and Tourism"
"National Library Of Scotland",150000,"15-04-2010","Major Projects","Culture, External Affairs and Tourism"
"National Library Of Scotland",1374000,"15-04-2010","Running Costs","Culture, External Affairs and Tourism"
"National Library Of Scotland",109000,"15-04-2010","Monthly Grant for additions to collections","Culture, External Affairs and Tourism"
"SEPA",50000,"15-04-2010","SEPA Grant in Aid - Capital Expenditure","Rural and Environment"
"SEPA",4100000,"15-04-2010","SEPA Grant in Aid - Operational Expenditure","Rural and Environment"
"Lochaber Women's Aid",31095.75,"15-04-2010","Equality Development","Equality, Social Inclusion and Sport"
"Scottish Community Foundation",37500,"15-04-2010","Equality Development","Equality, Social Inclusion and Sport"
"Ross-shire Womens Aid",25942,"15-04-2010","Equality Development","Equality, Social Inclusion and Sport"
"Scottish Domestic Abuse Helpline",51249.75,"15-04-2010","Equality Development","Equality, Social Inclusion and Sport"
"Motherwell & District Women's Aid",46427.75,"15-04-2010","Equality Development","Equality, Social Inclusion and Sport"
"Argyll & Bute Womens Aid",40003.75,"15-04-2010","Equality Development","Equality, Social Inclusion and Sport"
"Hamilton & Clydesdale Womens Aid",27967.5,"15-04-2010","Equality Development","Equality, Social Inclusion and Sport"
"Citizens Advice Direct",40000,"15-04-2010","Promoting Social Inclusion","Equality, Social Inclusion and Sport"
"NHS NSS",177440046,"15-04-2010","Family Health Services NCL Advances","Health Finance"
"Computacenter United Kingdom Limited",36445.34,"15-04-2010","Hepatitis C Inquiry","Healthcare Policy and Strategy"
"Hebridean Housing Partnership Limited",39215.72,"15-04-2010","COP Early Action cap grant to PS","Housing & Regeneration"
"Albyn H S Limited",30136.37,"15-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Hebridean Housing Partnership Limited",40044,"15-04-2010","COP Early Action cap grant to PS","Housing & Regeneration"
"Albyn H S Limited",285083.96,"15-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Buidheann Tigheadas Loch Aills (Lochalsh & Skye)",328000.77,"15-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Albyn H S Limited",87546.12,"15-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Glasgow City Council",39350,"15-04-2010","Timeout- Evaluation of the 218 Centre for Women Offenders","Justice Directorate"
"Glasgow City Council",87000.56,"15-04-2010","Community Justice Authorities","Justice Directorate"
"Dumfries and Galloway Council",164020,"15-04-2010","EMA National Roll Out","Lifelong Learning"
"Dumfries and Galloway Council",33240,"15-04-2010","EMA National Roll Out","Lifelong Learning"
"Fife Council",148470,"15-04-2010","EMA National Roll Out","Lifelong Learning"
"Renfrewshire Council",68000,"15-04-2010","EMA National Roll Out","Lifelong Learning"
"Stirling Council",33650,"15-04-2010","EMA National Roll Out","Lifelong Learning"
"Renfrewshire Council",80085,"15-04-2010","EMA National Roll Out","Lifelong Learning"
"Scottish Fishermens Organisation Limited",211027,"15-04-2010","European Fisheries Fund Grant","Marine Scotland Directorate"
"Don Fishing Company Limited, The",37655.57,"15-04-2010","Frs- Frv Charter Costs","Marine Scotland Directorate"
"Don Fishing Company Limited, The",41413.73,"15-04-2010","Frs- Frv Charter Costs","Marine Scotland Directorate"
"Sterner Aqua Tech UK Limited",27508.54,"15-04-2010","FRS Mar/Fresh Lab Sci Equip","Marine Scotland Directorate"
"Sterner Aqua Tech UK Limited",30338.5,"15-04-2010","FRS Mar/Fresh Lab Sci Equip","Marine Scotland Directorate"
"Jackson Trawls Limited",34545,"15-04-2010","FRS Mar/Fresh Lab Sci Equip","Marine Scotland Directorate"
"Isthmus Communications Limited T/A The Bridge",32171.5,"15-04-2010"," Operational payment for science careers campaign","Office of the Chief Scientific Adviser"
"National Policing Improvement Agency (NPIA)",176304.25,"15-04-2010","Violent and Sexual Offences Register","Police & Community Safety"
"National Policing Improvement Agency (NPIA)",254620.25,"15-04-2010","Police Information Technology Organisation","Police & Community Safety"
"Fife Council",40612.09,"15-04-2010","Seconded Staff Costs","Police & Community Safety"
"Tayside Fire Board",48106.11,"15-04-2010","Seconded Staff Costs","Police & Community Safety"
"Highland Council, The",153000,"15-04-2010","Fire LA Capital","Police & Community Safety"
"City of Edinburgh Council",170583,"15-04-2010","Fire LA Capital","Police & Community Safety"
"Fife Council",80333,"15-04-2010","Fire LA Capital","Police & Community Safety"
"Tayside Fire Board",110917,"15-04-2010","Fire LA Capital","Police & Community Safety"
"Falkirk Council",73333,"15-04-2010","Fire LA Capital","Police & Community Safety"
"Dumfries and Galloway Council",40833,"15-04-2010","Fire LA Capital","Police & Community Safety"
"Strathclyde Fire Brigade",498917,"15-04-2010","Fire LA Capital","Police & Community Safety"
"Grampian Fire & Rescue Service",124167,"15-04-2010","Fire LA Capital","Police & Community Safety"
"RR Donnelley Global Document Solutions formerly Astron",49692.39,"15-04-2010","Drug Misuse","Police & Community Safety"
"Scottish Commission for the Regulation of Care",2274000,"15-04-2010","Regulation Of Care","Primary & Community Care"
"Queen Margaret University College",56400,"15-04-2010","Flu Vaccine for Carers","Public Health and Health Improvement"
"Inspiring Scotland",1000000,"15-04-2010","National Demonstrations Projects","Public Health and Health Improvement"
"FIRM OF PETER ALEXANDER",39578.92,"15-04-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"MESSRS J NEIL & SON",28298.93,"15-04-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"MESSRS A & J CRAIG",28246.99,"15-04-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"A L Lawson",26072.61,"15-04-2010","Support for Scottish Agriculture (€ equiv)","Rural Payments and Inspection Directorate"
"Cadzow Bros",26270.51,"15-04-2010","Support for Scottish Agriculture (€ equiv)","Rural Payments and Inspection Directorate"
"G McDougall Bassendean Ltd",27210.5,"15-04-2010","Support for Scottish Agriculture (€ equiv)","Rural Payments and Inspection Directorate"
"J and T F MacFarlane Ltd",42151.55,"15-04-2010","Support for Scottish Agriculture (€ equiv)","Rural Payments and Inspection Directorate"
"J C Innes & Sons",43586.29,"15-04-2010","Support for Scottish Agriculture (€ equiv)","Rural Payments and Inspection Directorate"
"The Royal Blind Asylum & School",535000,"15-04-2010","Core grant to support the educational provision of 7 National, Grant-Aided Special Schools, ensuring access to specialist provision for children with additional support needs.","Learning Directorate"
"Donaldsons College",165049,"15-04-2010","Core grant to support the educational provision of 7 National, Grant-Aided Special Schools, ensuring access to specialist provision for children with additional support needs.","Learning Directorate"
"Capability Scotland",213509,"15-04-2010","Core grant to support the educational provision of 7 National, Grant-Aided Special Schools, ensuring access to specialist provision for children with additional support needs.","Learning Directorate"
"Capability Scotland",223132,"15-04-2010","Core grant to support the educational provision of 7 National, Grant-Aided Special Schools, ensuring access to specialist provision for children with additional support needs.","Learning Directorate"
"East Park School",109136,"15-04-2010","Core grant to support the educational provision of 7 National, Grant-Aided Special Schools, ensuring access to specialist provision for children with additional support needs.","Learning Directorate"
"Harmeny Education Trust Limited",92419,"15-04-2010","Core grant to support the educational provision of 7 National, Grant-Aided Special Schools, ensuring access to specialist provision for children with additional support needs.","Learning Directorate"
"Craighalbert Centre",120000,"15-04-2010","Core grant to support the educational provision of 7 National, Grant-Aided Special Schools, ensuring access to specialist provision for children with additional support needs.","Learning Directorate"
"Highlands & Islands (Scotland) Structural Funds Partnership Limited, The",255694.68,"16-04-2010","European Structural Funds 2007-2013 Programme Administration","Business, Energy"
"North Ayrshire Council",142031.1,"16-04-2010","European Regional Development Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"Eastern Scotland European Partnership Limited (ESEP)",562389.96,"16-04-2010","European Structural Funds 2007-2013 Programme Administration","Business, Energy"
"Glasgow Metropolitan College",41151.95,"16-04-2010","European Regional Development Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"Linear Projects Limited",30000,"16-04-2010","Regional Selective Assistance Grant Instalment","Business, Energy"
"Midland Steel Reinforcement Supplies (UK) Limited",60000,"16-04-2010","Regional Selective Assistance Grant Instalment","Business, Energy"
"Sniffer (Scotland & Northern Ireland Forum For Environmental Research)",95025.33,"16-04-2010","Climate Change- Policy Dev & Imp","Energy"
"Scottish Opera Theatre Royal",30000,"16-04-2010","National Performing Co. (Current)","Culture, External Affairs and Tourism"
"SAC Commercial Ltd",38540,"16-04-2010","Diffuse pollution of water","Environmental Quality"
"East Lothian Council",26002.32,"16-04-2010","Private Water","Environmental Quality"
"Scottish Ambulance Service",5500000,"16-04-2010","Cash Advances To Health Boards","Health Finance"
"NHS 24",1500000,"16-04-2010","Cash Advances To Health Boards","Health Finance"
"Action For Sick Children",56151,"16-04-2010","Section 16b grants","Healthcare Policy and Strategy"
"Professor Oliver James",29155,"16-04-2010","Hepatitis C Inquiry","Healthcare Policy and Strategy"
"CACI Limited",29027.2,"16-04-2010","Dataset information system","Housing & Regeneration"
